EL1: Electronic Ladder,A1: Melano KF No DNAse 4,B1: Melano KF No DNAse 6,C1: Melano KF Yes DNAse 1,D1: Melano KF Yes DNAse 3,E1: Melano D No DNAse 1,F1: Melano D No DNAse 5,G1: Melano D Yes DNAse 2,H1: Melano D Yes DNAse 5
2.192392,9.978938,10.57647,13.10827,9.949306,28.68507,72.65067,29.63354,370.9183
2.310712,10.0844,10.65639,12.89758,10.22779,31.27034,74.2838,28.03399,430.516
2.362311,10.11929,10.65396,12.70619,10.47201,34.21539,76.40723,26.52475,489.0048
2.456297,10.348,10.67284,12.45733,10.7826,37.2754,79.03676,25.24465,547.4662
2.468528,10.52722,10.61918,12.33939,11.10341,40.65389,81.93457,23.98338,605.845
2.466484,10.69499,10.60801,12.30958,11.51518,44.04685,85.12654,22.95244,658.6733
2.562199,10.95485,10.71893,12.33599,11.84816,47.58416,88.67061,22.07533,706.8305
2.688143,11.07761,10.80161,12.36599,12.13516,51.28999,92.42549,21.33495,743.9624
2.760905,11.16053,10.85109,12.5185,12.50263,55.15084,96.45222,20.51561,772.5912
2.684251,11.25156,10.87699,12.64295,12.78619,58.88464,100.6345,19.93047,790.231
2.796084,11.53469,10.98032,12.73251,13.13393,62.67043,104.7429,19.46924,795.8072
2.842338,11.86981,10.99194,12.92594,13.40518,66.31263,108.747,19.18605,790.1074
2.957272,12.32026,10.87249,13.13026,13.68962,69.82829,112.7138,18.79787,771.9959
3.109657,12.94062,10.84629,13.25092,13.94372,72.94884,116.4451,18.37734,745.7957
3.35411,13.64115,10.8796,13.63978,14.25508,75.89993,120.1244,18.0619,712.8947
3.562705,14.50467,11.00682,14.0387,14.50013,78.32919,123.1164,17.98486,671.0823
3.711011,15.61813,11.18263,14.45088,14.66224,80.28687,125.569,17.85394,625.2457
3.779229,16.74889,11.46017,14.7854,14.85553,81.93858,127.4693,17.7984,575.6749
3.873752,18.03568,11.97913,15.27358,15.19823,83.09651,128.6693,17.72496,524.3409
3.97186,19.58841,12.64508,15.74478,15.52203,83.871,129.1431,18.06475,473.0584
4.120864,21.31548,13.31123,16.15512,15.82271,84.30013,128.792,18.4189,423.1952
4.407995,23.38536,14.12489,16.53968,16.12766,84.37427,127.603,18.9288,374.368
4.740877,25.85984,15.02533,16.87364,16.59068,84.13855,125.8634,19.41965,329.8457
5.183635,28.55847,16.10056,17.1394,17.02084,83.39912,123.2377,19.88665,289.4124
5.696602,31.43248,17.38153,17.58497,17.58611,82.35898,119.6478,20.45456,253.1227
6.020205,34.44775,18.83691,17.7416,18.24912,80.94656,115.1614,21.03565,219.6147
6.294484,37.64014,20.5097,17.94163,19.06116,79.45856,110.2084,21.53387,190.1464
6.550032,40.84159,22.34835,18.0197,20.17554,77.87491,104.755,22.02517,165.0701
7.067249,43.91917,24.56723,18.17652,21.50996,76.45499,98.87178,22.5853,143.6569
7.607132,46.91289,27.02307,18.33904,23.09266,75.2374,93.11292,23.3014,125.5472
7.999272,49.62527,29.60395,18.41482,24.97736,74.17057,87.47232,23.83389,109.9922
8.483399,52.07755,32.35166,18.60122,26.99972,73.54604,82.08218,24.5341,96.55341
9.100471,53.97932,35.10906,18.74546,29.35239,73.37592,77.0542,25.06073,85.34486
9.723855,55.30418,37.86085,18.83807,31.88585,73.56794,72.19241,25.66211,75.89505
10.54847,55.91298,40.49863,19.0129,34.73799,74.19111,67.69366,26.2649,67.75864
11.37495,55.75069,43.02962,19.10769,37.77845,75.4426,63.95445,26.85269,61.01206
12.50006,55.0708,45.41921,19.31268,40.99478,77.33257,60.89665,27.38209,55.33541
13.92115,53.66902,47.27252,19.55006,44.44429,79.51495,58.32599,27.82919,50.41872
15.43674,51.655,48.71299,19.95123,48.07831,82.17117,56.12443,28.23826,46.07445
17.24239,49.34447,49.66994,20.51017,52.04003,85.20461,54.5303,28.64336,42.39799
19.26184,46.72978,50.0365,21.22887,56.14166,88.7179,53.31255,28.96916,39.03932
21.67051,43.90532,49.73935,22.16301,60.2006,92.3647,52.11691,29.21181,36.13082
24.47736,40.97806,48.98268,23.14028,64.37659,96.12283,51.02398,29.3714,33.46552
27.67189,38.18853,47.57001,24.4076,68.14806,99.93292,49.9198,29.74479,30.9364
31.58931,35.43927,45.74104,26.07939,71.62238,103.6048,49.03504,30.1122,28.77984
35.96396,33.03321,43.59892,28.10022,74.40133,107.3362,48.2,30.4406,26.87922
40.95355,30.90012,41.25362,30.53924,76.58511,110.8738,47.44102,30.52216,25.15559
46.12794,28.86988,38.68938,33.33932,77.86104,113.9428,46.69309,30.69248,23.50553
51.64317,27.1523,36.11529,36.63312,78.28177,116.8527,45.86792,30.90528,21.96779
57.59286,25.68325,33.63203,40.25254,77.97515,119.4149,45.03906,31.21645,20.64832
63.7354,24.4939,31.26555,44.35828,76.79264,121.486,44.22367,31.68116,19.34732
69.85553,23.47257,29.13977,48.55825,74.84027,122.7361,43.21405,32.23305,18.21937
75.89359,22.695,27.38603,53.14577,72.24185,123.4464,42.17347,33.01463,17.20404
81.78076,22.0242,25.75311,57.90263,68.83529,123.3713,41.2105,34.12688,16.22104
87.19453,21.42188,24.49456,62.66659,65.14985,122.505,40.36683,35.43411,15.48596
91.76865,20.93917,23.36288,67.26209,61.17747,120.773,39.53418,37.04223,14.85228
95.54222,20.58698,22.46855,71.66487,57.24337,118.1675,38.8611,38.83316,14.35121
